varNm,변수중요도,iv_sum
최근1개월_전체_탐색건수,0.33730972,4.94047
세그먼트번호,0.080732726,2.77304
최근1개월_드라마_탐색횟수,0.017988417,4.63606
최근1개월_코미디_탐색횟수,0.016491774,4.53335
최근1개월_서부극_시청시작횟수,0.01149275,0.3723
최근1개월_로맨스_구매횟수,0.01113049,2.12779
최근1개월_액션_시청완료횟수,0.007916374,2.81833
최근1개월_미스테리_시청완료횟수,0.0075168377,0.76127
최근1개월_공포_탐색횟수,0.00744928,3.95978
최근1개월_모험_탐색횟수,0.007362208,3.80802
최근1개월_음악_시청완료횟수,0.0071277297,1.13711
최근1개월_스릴러_탐색횟수,0.0067962706,4.59586
최근1개월_개봉년_1960년대_시청건수,0.006753871,1.76353
최근1개월_전기_구매횟수,0.006747192,0.8523
최근1개월_음악_평가횟수,0.0067410446,0.91581
최근1개월_판타지_시청완료횟수,0.0063866973,2.58371
최근1개월_스포츠_시청시작횟수,0.0062464667,1.82104
최근1개월_제작비_1억이상_시청건수,0.005732973,3.73668
최근1개월_다큐멘터리_평가횟수,0.0056581856,0.00982
최근1개월_판타지_탐색횟수,0.005551376,4.1067
최근1개월_모험_평가횟수,0.0055236784,1.77464
연령대,0.0054964386,1.2394
혼인유형,0.005484483,0.0
최근1개월_전쟁_평가횟수,0.0054529407,1.4989
최근1개월_단막극_평가횟수,0.005424002,0.38913
최근1개월_미스테리_평가횟수,0.005150275,0.46817
최근1개월_단막극_탐색횟수,0.005127936,2.20745
최근1개월_드라마_평가횟수,0.005093497,3.5936
최근1개월_가족_평가횟수,0.0049000364,1.36825
최근1개월_액션_탐색횟수,0.0046496973,4.19193
최근1개월_드라마_구매횟수,0.004645545,3.91609
최근1개월_코미디_시청완료횟수,0.0045222156,3.52066
최근3개월_평균평점_범죄,0.0044053677,3.33939
최근1개월_전쟁_시청시작횟수,0.0043865684,2.02324
최근1개월_역사_시청완료횟수,0.0043126517,0.5659
최근1개월_가족_시청시작횟수,0.0043052137,1.78878
최근1개월_개봉년_1980년대_시청건수,0.004254794,3.14031
최근1개월_단막극_시청완료횟수,0.004239356,0.67607
최근1개월_판타지_구매횟수,0.004190827,2.55826
최근1개월_전쟁_시청완료횟수,0.0041854274,1.90006
최근1개월_박스오피스_2억이상_시청건수,0.0041558645,4.49765
최근1개월_로맨스_시청완료횟수,0.0041467254,2.10518
최근1개월_공포_평가횟수,0.004142749,2.38063
최근1개월_액션_시청시작횟수,0.0040534306,3.07306
최근1개월_전체_시청시작건수,0.0039992672,4.6769
최근3개월_평균평점_드라마,0.003997616,2.56694
최근3개월_평균평점_전기,0.003975078,1.99774
최근1개월_스릴러_평가횟수,0.003956834,2.61351
최근1개월_개봉년_1970년대_시청건수,0.0039488305,2.40772
최근1개월_개봉년_1950년대_시청건수,0.0038798405,1.70934
최근1개월_개봉년_2000년대_시청건수,0.0038131278,4.61823
최근1개월_공상과학_탐색횟수,0.0038029025,4.43216
최근1개월_제작비_0원_시청건수,0.0037916962,3.11921
최근1개월_로맨스_평가횟수,0.0037394532,1.76256
최근3개월_평균평점_애니메이션,0.00368749,1.51098
최근3개월_평균평점_공포,0.0036104056,2.807
최근1개월_제작비_5백만이하_시청건수,0.0035695573,3.49354
최근1개월_전체_시청완료건수,0.0035286378,4.66673
최근1개월_역사_평가횟수,0.0034954364,0.2917
최근1개월_범죄_평가횟수,0.0034530093,2.08784
최근3개월_평균평점_판타지,0.003439326,2.81579
최근1개월_제작비_1_2천만_시청건수,0.0033547275,4.07711
최근1개월_제작비_5천만_1억_시청건수,0.0033394229,4.06861
최근1개월_박스오피스_1_2천만_시청건수,0.0033237357,2.44318
최근1개월_미스테리_탐색횟수,0.0032915587,2.2256
최근1개월_제작비_3_5천만_시청건수,0.0032666721,4.08428
최근1개월_역사_시청시작횟수,0.003244251,0.64519
최근1개월_영화시청건수,0.0032405981,4.89036
