index,건수
기준년월,0
회원번호,0
대륙번호,0
연령대,0
통근거리,0
신용잔액구간,0
학력,3795
성별,3795
가구규모,0
수입구간,1329
잔고부족발생여부,0
직장유형,3795
부동산담보대출및임대지불지연발생여부,0
혼인유형,0
부동산담보대출금액존재여부,0
보유차량수,0
주거유형,3467
세그먼트번호,0
총직장근속년수,719
회원유지기간,0
거주기간,0
최근1개월_영화시청건수,1998
최근1개월_개봉년_1950년이전_시청건수,1998
최근1개월_개봉년_1950년대_시청건수,1998
최근1개월_개봉년_1960년대_시청건수,1998
최근1개월_개봉년_1970년대_시청건수,1998
최근1개월_개봉년_1980년대_시청건수,1998
최근1개월_개봉년_1990년대_시청건수,1998
최근1개월_개봉년_2000년대_시청건수,1998
최근1개월_개봉년_2010년이후_시청건수,1998
최근1개월_제작비_0원_시청건수,1998
최근1개월_제작비_5백만이하_시청건수,1998
최근1개월_제작비_5백_1천만_시청건수,1998
최근1개월_제작비_1_2천만_시청건수,1998
최근1개월_제작비_2_3천만_시청건수,1998
최근1개월_제작비_3_5천만_시청건수,1998
최근1개월_제작비_5천만_1억_시청건수,1998
최근1개월_제작비_1억이상_시청건수,1998
최근1개월_박스오피스_0원_시청건수,1998
최근1개월_박스오피스_1천만이하_시청건수,1998
최근1개월_박스오피스_1_2천만_시청건수,1998
최근1개월_박스오피스_2_3천만_시청건수,1998
최근1개월_박스오피스_3_5천만_시청건수,1998
최근1개월_박스오피스_5천만_1억_시청건수,1998
최근1개월_박스오피스_1_2억_시청건수,1998
최근1개월_박스오피스_2억이상_시청건수,1998
최근1개월_전체_평가건수,1998
최근1개월_전체_시청시작건수,1998
최근1개월_전체_시청완료건수,1998
최근1개월_전체_탐색건수,1998
최근1개월_전체_구매건수,1998
최근3개월_평균평점_역사,994
최근3개월_평균평점_애니메이션,994
최근3개월_평균평점_드라마,994
최근3개월_평균평점_코미디,994
최근3개월_평균평점_액션,994
최근3개월_평균평점_스릴러,994
최근3개월_평균평점_모험,994
최근3개월_평균평점_판타지,994
최근3개월_평균평점_범죄,994
최근3개월_평균평점_가족,994
최근3개월_평균평점_로맨스,994
최근3개월_평균평점_음악,994
최근3개월_평균평점_공포,994
최근3개월_평균평점_전쟁,994
최근3개월_평균평점_서부극,994
최근3개월_평균평점_미스테리,994
최근3개월_평균평점_단막극,994
최근3개월_평균평점_뮤지컬,994
최근3개월_평균평점_스포츠,994
최근3개월_평균평점_공상과학,994
최근3개월_평균평점_전기,994
최근1개월_액션_탐색횟수,1998
최근1개월_액션_평가횟수,1998
최근1개월_액션_시청완료횟수,1998
최근1개월_액션_시청시작횟수,1998
최근1개월_액션_구매횟수,1998
최근1개월_드라마_탐색횟수,1998
최근1개월_드라마_평가횟수,1998
최근1개월_드라마_시청완료횟수,1998
최근1개월_드라마_시청시작횟수,1998
최근1개월_드라마_구매횟수,1998
최근1개월_코미디_탐색횟수,1998
최근1개월_코미디_평가횟수,1998
최근1개월_코미디_시청완료횟수,1998
최근1개월_코미디_시청시작횟수,1998
최근1개월_코미디_구매횟수,1998
